	GSM461182_untreat_single_featureCounts	GSM461178_untreat_paired_featureCounts	GSM461177_untreat_paired_featureCounts	GSM461176_untreat_single_featureCounts	GSM461181_treat_paired_featureCounts	GSM461180_treat_paired_featureCounts	GSM461179_treat_single_featureCounts
FBgn0250732	1247.50499330866	1244.55948687904	1213.33837602726	1159.72839477312	1051.75746305442	1090.77053662496	874.22856885554
FBti0060344	0	0	0	0	0	0	0
FBgn0286036	0	0	0	0	0	0	0
FBgn0037409	0	0	0	2.50481294767413	0	1.49420621455475	0
FBgn0027948	7123.3618455594	6289.66021513109	7532.03130349228	7957.28977217117	7563.04751828712	8748.57738621803	9371.07996213536
FBgn0038675	220.000880583491	249.215819106426	219.334244897235	288.053488982525	264.786714937589	264.47449997619	238.61667596237
FBgn0264900	0	0	0	0	0	1.49420621455475	0
FBgn0000500	0.83333666887686	4.5588259592639	1.55556202054777	2.50481294767413	8.62096281192149	7.47103107277373	4.19545803889881
FBgn0261504	0	0	1.55556202054777	0	0	0	0
FBgn0037610	194.167443848308	229.460906616283	206.889748732853	182.350382590677	236.460694269847	270.451324834409	164.671728026778
FBgn0053095	0	0	0	0	0	0	0
FBgn0038070	0.83333666887686	0	1.55556202054777	1.00192517906965	1.23156611598878	0	3.67102578403646
FBgn0267571	1.66667333775372	4.5588259592639	4.6666860616433	8.01540143255721	6.15783057994392	1.49420621455475	3.14659352917411
FBgn0261859	867.503472300811	1034.8534927529	1213.33837602726	1119.1504250208	1288.21815732427	1371.68130496126	1235.5623924557
FBgn0262389	0	0	0	0	0	0	0
FBgn0037363	1581.67299752828	1742.9911250919	1988.00826226005	1848.55195538351	1530.83668217406	1434.43796597256	1477.32566194724
FBgn0039552	0	0	0	0.500962589534826	0	0	0
FBgn0267797	0	0	0	0.500962589534826	0	0	0
FBgn0039732	121.667153656022	162.598125880412	141.556143869847	142.774338017425	134.240706642777	132.984353095372	179.355831162924
FBgn0038224	1149.17126638119	1054.60840524305	983.115196986188	1091.59748259638	1121.95673166578	1135.59672306161	1327.33803705661
FBgn0264776	282.501130749255	291.764861392889	213.111996815044	269.517873169736	204.439975254138	212.177282466774	269.558178999249
FBgn0038525	0	0	0	0	0	0	0.524432254862352
FBgn0262397	0	0	0	0	0	0	0
FBti0019351	0	0	0	0.500962589534826	0	0	0
FBti0019410	0	0	0	0	0	0	1.0488645097247
FBgn0262899	0	0	0	0	0	0	1.0488645097247
FBgn0261436	718.336208571853	855.539671688524	808.892250684838	671.289869976666	832.538694408418	724.690014059052	653.44258955849
FBti0063117	0	0	0	0	0	0	0
FBgn0262378	0	0	0	0.500962589534826	0	0	0
FBgn0038814	1.66667333775372	0	0	3.00577553720895	2.46313223197757	4.48261864366424	3.14659352917411
FBgn0286871	0	0	0	0	0	0	0
FBgn0267809	0	1.51960865308797	0	0.500962589534826	0	1.49420621455475	0.524432254862352
FBgn0038279	0.83333666887686	0	0	2.50481294767413	0	2.98841242910949	2.09772901944941
FBgn0037625	0.83333666887686	0	0	0	1.23156611598878	0	0
FBgn0053093	0	0	0	0.500962589534826	0	0	1.0488645097247
FBti0062189	0	0	0	0	0	0	0
FBti0019436	0.83333666887686	3.03921730617593	3.11112404109553	3.00577553720895	2.46313223197757	0	2.09772901944941
FBgn0051579	0	0	0	0	0	0	0
FBgn0027574	399.168264392016	393.578641149783	482.224226369808	470.403871573201	385.480194304489	363.092110136803	413.252616831533
FBgn0260746	728.336248598375	1205.04966189876	1059.33773599303	949.825069758029	1439.70078959089	1279.04051965886	1209.86521196745
FBgn0037930	2087.50835553653	2325.00123922459	1925.78578143813	2340.49721830671	2351.05971542259	2269.69923990866	2394.5576757015
FBgn0038709	0	0	0	0.500962589534826	0	1.49420621455475	0.524432254862352
FBgn0027095	1936.67441846982	1990.68733554523	1550.89533448612	1834.52500287653	2184.7982897641	1918.56077948829	2136.01257405436
FBtr0309605_df_nrg	0	0	0	0	0	0	0
FBgn0051450	234.167603954398	255.294253718778	194.445252568471	212.909100552301	229.071297573914	203.212045179445	209.248469690078
FBgn0038774	0	0	0	0.500962589534826	0	0	0
FBgn0037794	210.834177225846	200.588342207611	205.334186712305	280.539050139502	205.671541370127	209.188870037664	307.317301349338
FBgn0039229	1605.00642425683	1627.50086745721	1743.78502503405	1578.0321570347	1652.76172765695	1700.4066721633	1332.58235960524
FBgn0065064	31.6667934173207	6.07843461235186	18.6667442465732	31.560643140694	13.5472272758766	25.4015056474307	33.0392320563282
FBti0019348	0.83333666887686	1.51960865308797	0	0.500962589534826	0	0	0
FBgn0038737	157.500630417726	179.31382106438	127.556085684917	127.244497741846	181.040219050351	162.868477386467	140.023412048248
FBgn0262431	0	0	0	0	0	0	0
FBti0063768	0	0	0	0.500962589534826	0	0	0
FBgn0037399	0.83333666887686	0	0	0.500962589534826	0	0	1.0488645097247
FBti0019411	0	0	0	0	0	0	0
FBti0020393	0	3.03921730617593	1.55556202054777	0.500962589534826	0	0	0.524432254862352
FBgn0039291	93.3337069142083	63.8235634296945	66.8891668835539	95.6838546011517	61.5783057994392	50.8030112948613	104.88645097247
FBgn0037547	0.83333666887686	0	1.55556202054777	2.0038503581393	0	0	1.0488645097247
FBgn0038966	388.334887696617	387.500206537431	337.556958458865	404.276809754604	304.19683064923	254.015056474307	307.317301349338
FBgn0037690	4.1666833443843	3.03921730617593	4.6666860616433	6.01155107441791	2.46313223197757	8.96523728732847	6.29318705834822
FBti0019321	2.50001000663058	9.11765191852779	1.55556202054777	2.50481294767413	3.69469834796635	1.49420621455475	1.0488645097247
FBgn0038783	0.83333666887686	0	0	1.00192517906965	0	0	0.524432254862352
FBgn0011998	0	0	0	0	0	0	0
FBgn0038055	270.001080716103	275.049166208922	311.112404109553	268.014985401132	331.291285200983	342.173223133037	266.411585470075
FBgn0261453	0.83333666887686	0	0	0	0	0	0
FBgn0261792	372.501490987956	340.392338291704	356.223702705438	431.82975217902	325.133454621039	297.347036696394	338.258804386217
FBgn0040606	0	0	0	1.00192517906965	0	0	0
FBgn0037709	322.501290855345	340.392338291704	264.44554349312	230.943753775555	243.850090965779	254.015056474307	283.19341762567
FBti0059826	0	0	0	0	0	0	0.524432254862352
FBgn0051106	0.83333666887686	1.51960865308797	0	1.00192517906965	0	1.49420621455475	1.57329676458705
FBti0019291	65.8335968412719	51.6666942049908	46.666860616433	44.5856704685995	16.0103595078542	31.3783305056497	30.9415030368787
FBgn0039131	3.33334667550744	6.07843461235186	3.11112404109553	2.0038503581393	3.69469834796635	2.98841242910949	7.86648382293527
