GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene symbol
FBgn0026562	43868.5455480573	-2.3825855093351	0.0835077530173998	-28.5313090490971	4.79184502943794e-179	4.14542513496676e-175	chr3R	26869237	26871995	-	protein_coding	SPARC
FBgn0039155	735.939136596636	-4.07673915281992	0.144658206549302	-28.1818726366589	9.75415305460502e-175	2.81277260251294e-171	chr3R	24141394	24147490	+	protein_coding	Kal1
FBgn0003360	4392.7577141093	-2.99541328092514	0.10624268759732	-28.1940653862063	6.91416933401652e-175	2.81277260251294e-171	chrX	10780892	10786958	-	protein_coding	sesB
FBgn0025111	1508.08707143002	2.68042910185124	0.0992071360845243	27.0185110430718	8.95804219966005e-161	1.93740057673148e-157	chrX	10778953	10786907	-	protein_coding	Ant2
FBgn0029167	3663.82173154691	-2.11127790702117	0.0911561146628342	-23.1611221565367	1.12314097342632e-118	1.94325851222223e-115	chr3L	13846053	13860001	+	protein_coding	Hml
FBgn0039827	265.07817718924	-3.37077872355021	0.169760982685832	-19.8560273993485	9.77430184206383e-88	1.4092914205949e-84	chr3R	31196915	31203722	+	protein_coding	CG1544
FBgn0035085	644.366837429722	-2.41866196068078	0.121920374072162	-19.838045766241	1.39787773909378e-87	1.72757718870004e-84	chr2R	24945138	24946636	+	protein_coding	CG3770
FBgn0264475	650.947679886028	-2.31430541291129	0.13122221639894	-17.6365365288098	1.29137495022336e-69	1.39646058679779e-66	chr3L	820758	821512	+	ncRNA	lncRNA:CR43883
FBgn0034736	222.308995848072	-2.92764639512248	0.171217237696172	-17.099016632412	1.50929454617613e-65	1.4507674576633e-62	chr2R	22550093	22552113	+	protein_coding	gas
FBgn0000071	322.085805028094	2.33703761145521	0.144129509333004	16.2148447064758	3.9607746588646e-59	3.42646615738377e-56	chr3R	6762592	6765261	+	protein_coding	Ama
FBgn0029896	477.291034028138	-2.17487750674787	0.137600182398428	-15.8057748822629	2.83878207820745e-56	2.23257306896115e-53	chrX	6720003	6739986	-	protein_coding	CG3168
FBgn0038832	290.155365602645	-2.28368100878094	0.166860088964288	-13.6862027519937	1.22758914983557e-42	8.84989477935623e-40	chr3R	20842139	20844981	+	protein_coding	CG15695
FBgn0027279	2946.64213921217	-1.16271501714198	0.0860266829879724	-13.5157485649487	1.26264791893599e-41	8.40243626670406e-39	chrX	22487179	22508129	+	protein_coding	l(1)G0196
FBgn0035189	207.86310008807	2.35980894635652	0.18234177043409	12.9416805635849	2.6183834264081e-38	1.6179739301326e-35	chr3L	1203315	1204795	-	protein_coding	CG9119
FBgn0001226	1188.39103759586	1.55762778378601	0.123530572644998	12.609249276795	1.87773093648309e-36	1.08295002210101e-33	chr3L	9384062	9385694	+	protein_coding	Hsp27
FBgn0040091	1090.94411316351	-1.46340236260642	0.116292387267139	-12.583819087356	2.59189817877583e-36	1.40140694653686e-33	chr2R	22641785	22643917	-	protein_coding	Ugt317A1
FBgn0040099	858.740248668437	-1.63621388917023	0.130126191333009	-12.5740550185086	2.93286221374186e-36	1.49248182418122e-33	chr2L	7857076	7860120	+	protein_coding	lectin-28C
FBgn0023479	3098.55704032873	-1.43342729238671	0.115461168688482	-12.4147997865339	2.17229587281909e-35	1.04402953309766e-32	chr3L	9074642	9092131	+	protein_coding	teq
FBgn0264753	114.967338028304	-2.43100722142992	0.196404163164232	-12.3775748042424	3.45629614290665e-35	1.57370620696239e-32	chr2R	19311147	19356525	-	protein_coding	Rgk1
FBgn0011260	196.142303063605	1.93658319414777	0.15709516501404	12.3274525602025	6.44522392775586e-35	2.7878816099508e-32	chr2R	16500177	16533459	+	protein_coding	Sema2a
FBgn0039419	1812.12278905736	-1.11686537541529	0.0911865110302391	-12.2481424368229	1.71887950975191e-34	7.08096506612561e-32	chr3R	26230247	26234700	+	protein_coding	CG12290
FBgn0262733	371.009528424049	1.82609456126397	0.153894481421074	11.8658872261154	1.78005403064665e-32	6.9996579177837e-30	chr3L	4592446	4626196	-	protein_coding	Src64B
FBgn0261552	6035.53705762537	-1.61727212692069	0.137062118888241	-11.79955585131	3.92376958439559e-32	1.47584915976549e-29	chr3R	9417939	9455500	+	protein_coding	ps
FBgn0033913	5118.11723962841	-1.12623467698653	0.0968989519804953	-11.6227745911352	3.15713552687842e-31	1.13801581012605e-28	chr2R	14219897	14230620	+	protein_coding	CG8468
FBgn0037754	218.39337298169	-1.96113623879225	0.170096225262835	-11.5295694290798	9.36107112441824e-31	3.23930505189369e-28	chr3R	9784652	9789323	+	protein_coding	CG8500
FBgn0085359	68.0989508465214	-2.60558405719404	0.22682000355576	-11.4874526776625	1.52543873431636e-30	5.07560403483493e-28	chrX	19068274	19068973	-	protein_coding	CG34330
FBgn0024288	58.8431949734756	-2.55146627963994	0.224457939278756	-11.367235606985	6.08854315121416e-30	1.95081432596865e-27	chr3R	31065252	31083407	+	protein_coding	Sox100B
FBgn0031150	803.838218739031	1.18392475034888	0.105129021749163	11.2616357562398	2.02956055419884e-29	6.27061726941936e-27	chrX	21053962	21082391	+	protein_coding	bves
FBgn0052407	192.857775362934	-1.80918611032429	0.160788563830793	-11.2519576468648	2.26508094819911e-29	6.75697078719673e-27	chr3L	5922054	5923567	+	protein_coding	CG32407
FBgn0051092	155.651206370697	1.88859279303577	0.168953375500171	11.1781891746452	5.2143075930931e-29	1.50363249959495e-26	chr3R	25698726	25740465	-	protein_coding	LpR2
FBgn0034010	525.879538634805	-1.3321783321911	0.122709284113944	-10.8563776719134	1.85980874200393e-27	5.02787669596124e-25	chr2R	15325502	15326386	-	protein_coding	CG8157
FBgn0283658	1334.55251816393	-1.08367910306497	0.0999715922643703	-10.8398703923734	2.22786453055636e-27	5.84038062237668e-25	chr2L	7426865	7430329	+	protein_coding	muc
FBgn0035147	19507.7643398384	-1.11825963806947	0.105198614976592	-10.6299844186951	2.16148588015323e-26	5.49971010270753e-24	chr3L	648554	651311	+	protein_coding	Gale
FBgn0264437	133.415495049894	2.09104111939207	0.196844459871974	10.6228090988797	2.33428926476761e-26	5.76969612271561e-24	chr2L	8590369	8594489	-	ncRNA	lncRNA:CR43855
FBgn0261673	64.1286595544736	2.24705545147725	0.213557453124897	10.5220184011236	6.83925246318553e-26	1.6435103627505e-23	chr2R	12659496	12670219	-	protein_coding	nemy
FBgn0003748	1082.06931717803	1.03749271045712	0.0990369444617218	10.4758150213138	1.11572354214436e-25	2.60868226029482e-23	chr2R	21074017	21088945	+	protein_coding	Treh
FBgn0001224	583.230032924849	1.34217000565164	0.128413413259988	10.4519455684451	1.43549746542718e-25	3.26802330879225e-23	chr3L	9381881	9382765	+	protein_coding	Hsp23
FBgn0040827	213.809415969489	-1.65967510443129	0.159882799383688	-10.3805732125593	3.03944707127016e-25	6.74211708039952e-23	chr3L	9096876	9097494	+	protein_coding	CG13315
FBgn0261596	16579.9400664631	-1.04358662048739	0.101504410478936	-10.2811948324546	8.56590154740365e-25	1.80740522650217e-22	chr2R	22640525	22641419	-	protein_coding	RpS24
FBgn0283437	5777.06499152111	1.36807114889496	0.133508902655713	10.2470406218744	1.22022382323765e-24	2.51337054638784e-22	chr2R	17887219	17889973	-	protein_coding	PPO1
